City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Iglesias,IT,2022-03-22 13:16:57,39.3114,8.535,58.73,48,46,15.14
182,Erenhot,CN,2022-03-22 13:16:57,43.6475,111.9767,37.47,26,43,11.12
183,Tiksi,RU,2022-03-22 13:16:58,71.6872,128.8694,-16.96,99,82,3.8
184,Nizhneangarsk,RU,2022-03-22 13:16:58,55.7833,109.55,8.37,84,100,5.1
185,Tvoroyri,FO,2022-03-22 13:16:59,61.5556,-6.8111,47.26,83,91,20.33
186,Long,TH,2022-03-22 13:16:59,18.0761,99.8326,89.31,63,49,0.63
187,Valparaiso,CL,2022-03-22 13:15:26,-33.0393,-71.6273,61.03,70,0,4.61
188,Ilulissat,GL,2022-03-22 13:17:00,69.2167,-51.1,1.42,55,75,3.44
189,Xinmin,CN,2022-03-22 13:17:00,41.9908,122.8253,39.2,33,100,12.44
190,Matnog,PH,2022-03-22 13:17:01,12.5878,124.0875,80.46,88,78,11.92
191,Sao Filipe,CV,2022-03-22 13:17:01,14.8961,-24.4956,71.04,72,2,11.74
192,Ngama,TD,2022-03-22 13:17:01,11.7833,17.1667,107.17,5,100,9.28
193,Changtu,CN,2022-03-22 13:17:02,42.7788,124.0955,35.69,49,100,8.48
194,Jorhat,IN,2022-03-22 13:17:02,26.75,94.2167,86.81,29,5,5.12
195,Havre-Saint-Pierre,CA,2022-03-22 13:17:03,50.2334,-63.5986,32.36,80,100,11.5
196,Igarka,RU,2022-03-22 13:17:03,67.4667,86.5833,-5.84,100,50,2.55
197,Paamiut,GL,2022-03-22 13:17:03,61.994,-49.6678,18.73,61,100,4.14
198,Pisco,PE,2022-03-22 13:17:04,-13.7,-76.2167,69.85,78,23,2.3
199,Tezu,IN,2022-03-22 13:17:05,27.9167,96.1667,79.48,34,2,4.68
200,Castro,BR,2022-03-22 13:13:13,-24.7911,-50.0119,64.56,75,58,11.36
201,Sarakhs,IR,2022-03-22 13:17:05,36.5449,61.1577,59.14,47,75,0.0
202,New Norfolk,AU,2022-03-22 13:17:06,-42.7826,147.0587,56.7,60,11,5.99
203,General Higinio Morinigo,PY,2022-03-22 13:17:06,-25.95,-55.9167,76.48,57,63,11.18
204,Luderitz,NA,2022-03-22 13:17:06,-26.6481,15.1594,75.34,64,0,18.9
205,Santa Maria,BR,2022-03-22 13:17:07,-29.6842,-53.8069,77.77,53,3,9.24
206,Mattawa,US,2022-03-22 13:17:07,46.7379,-119.9028,44.26,96,100,1.01
207,Naron,ES,2022-03-22 13:17:08,43.5167,-8.1528,65.68,76,98,5.5
208,Nshamba,TZ,2022-03-22 13:17:08,-1.7983,31.5511,71.26,66,56,4.43
209,Cayenne,GF,2022-03-22 13:17:08,4.9333,-52.3333,75.09,1,75,9.22
210,Zamora,EC,2022-03-22 13:17:09,-4.0692,-78.9567,69.04,98,100,0.63
211,Auki,SB,2022-03-22 13:17:09,-8.7676,160.7034,78.8,85,83,2.73
212,Listvyagi,RU,2022-03-22 13:17:10,53.6772,86.951,24.33,73,100,13.2
213,Asmara,ER,2022-03-22 13:13:30,15.3333,38.9333,72.27,33,16,6.33
214,Sabang,ID,2022-03-22 13:13:14,5.8933,95.3214,84.11,73,46,14.76
215,Moses Lake,US,2022-03-22 13:16:51,47.1301,-119.2781,44.96,87,100,3.44
216,Dongsheng,CN,2022-03-22 13:17:11,39.8161,109.9776,33.15,64,0,10.25
217,San Cristobal,VE,2022-03-22 13:17:11,7.7669,-72.225,68.18,67,51,3.8
218,Touros,BR,2022-03-22 13:17:11,-5.1989,-35.4608,85.71,64,56,10.2
219,Huambo,AO,2022-03-22 13:17:12,-12.7761,15.7392,73.92,68,78,2.64
220,Cam Ranh,VN,2022-03-22 13:17:12,11.9214,109.1591,80.56,78,20,2.3
221,Lufilufi,WS,2022-03-22 13:17:13,-13.8745,-171.5986,76.78,79,41,15.59
222,Tucurui,BR,2022-03-22 13:17:13,-3.7661,-49.6725,77.79,87,100,3.02
223,Jardim,BR,2022-03-22 13:17:13,-21.4803,-56.1381,81.28,63,0,9.42
224,Norman Wells,CA,2022-03-22 13:17:14,65.282,-126.8329,-23.76,69,20,3.44
225,Tangjiazhuang,CN,2022-03-22 13:17:14,39.7333,118.45,41.58,45,100,9.53
226,Sawtell,AU,2022-03-22 13:17:15,-30.3833,153.1,66.22,88,36,6.91
227,Henties Bay,NA,2022-03-22 13:17:15,-22.116,14.2845,72.03,77,26,12.3
228,Agidel,RU,2022-03-22 13:17:15,55.9077,53.9355,30.78,88,94,13.51
229,Saint-Pierre,RE,2022-03-22 13:17:16,-21.3393,55.4781,82.9,84,0,20.71
230,Vidim,RU,2022-03-22 13:17:16,56.4088,103.1106,8.83,98,100,3.24
231,Lagoa,PT,2022-03-22 13:17:17,39.05,-27.9833,58.26,74,100,15.93
232,Floro,NO,2022-03-22 13:17:17,61.5996,5.0328,46.36,61,20,5.75
233,Bani Walid,LY,2022-03-22 13:17:18,31.7566,13.9942,59.38,36,53,9.53
234,Kutum,SD,2022-03-22 13:17:18,14.2,24.6667,90.9,6,100,6.4
235,Hurghada,EG,2022-03-22 13:14:42,27.2574,33.8129,68.41,44,0,25.39
236,Abhayapuri,IN,2022-03-22 13:17:19,26.3333,90.6667,89.58,28,83,5.88
237,Berlevag,NO,2022-03-22 13:17:19,70.8578,29.0864,33.75,86,100,21.85
238,Broken Hill,AU,2022-03-22 13:17:20,-31.95,141.4333,71.89,60,100,18.14
239,Rock Springs,US,2022-03-22 13:17:20,41.5875,-109.2029,27.05,71,100,9.22
