City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
223,Rawson,AR,-43.3002,-65.1023,54.32,72,100,23.89,light rain,2022-03-24 00:53:43
224,Yermekeyevo,RU,54.0761,53.6712,31.35,93,97,7.94,overcast clouds,2022-03-24 00:53:43
225,Henties Bay,NA,-22.116,14.2845,65.19,92,13,7.36,light rain,2022-03-24 00:53:43
226,Hefei,CN,31.8639,117.2808,46.42,93,5,6.71,mist,2022-03-24 00:53:12
227,Kazerun,IR,29.6195,51.6541,66.06,23,82,5.61,broken clouds,2022-03-24 00:53:44
228,Waitati,NZ,-45.75,170.5667,60.8,65,99,9.48,overcast clouds,2022-03-24 00:53:44
229,Hami,CN,42.8,93.45,42.42,28,100,6.71,overcast clouds,2022-03-24 00:53:44
230,Namatanai,PG,-3.6667,152.4333,85.44,66,100,7.43,overcast clouds,2022-03-24 00:53:45
231,Karratha,AU,-20.7377,116.8463,91.71,47,99,11.36,overcast clouds,2022-03-24 00:53:45
232,Wuan,CN,31.6836,112.0044,51.37,82,99,12.68,overcast clouds,2022-03-24 00:53:45
233,Ambovombe,MG,-25.1667,46.0833,71.33,83,0,5.08,clear sky,2022-03-24 00:53:46
234,Awbari,LY,26.5921,12.7805,50.9,28,1,10.02,clear sky,2022-03-24 00:53:46
235,Sola,VU,-13.8833,167.55,86.67,74,75,6.91,broken clouds,2022-03-24 00:53:46
236,Mandeville,JM,18.0417,-77.5071,67.19,94,49,3.91,scattered clouds,2022-03-24 00:53:46
237,Nioro,GM,13.35,-15.75,75.76,34,0,6.15,clear sky,2022-03-24 00:53:47
238,Te Anau,NZ,-45.4167,167.7167,61.68,44,7,4.5,clear sky,2022-03-24 00:53:47
239,Xuddur,SO,4.1213,43.8894,75.2,74,0,9.33,clear sky,2022-03-24 00:53:47
240,Abong Mbang,CM,3.9833,13.1833,72.37,62,91,2.19,overcast clouds,2022-03-24 00:53:48
241,Merrill,US,45.1805,-89.6835,34.57,97,100,4.61,light intensity drizzle,2022-03-24 00:51:24
242,Praia,CV,14.9215,-23.5087,68.54,73,75,19.57,broken clouds,2022-03-24 00:53:48
243,Kisanga,TZ,-7.4362,37.7034,72.18,97,63,1.36,light rain,2022-03-24 00:53:48
244,Burgeo,CA,47.6167,-57.6152,31.35,77,10,24.45,clear sky,2022-03-24 00:53:49
245,Gillette,US,44.2911,-105.5022,54.52,23,0,8.05,clear sky,2022-03-24 00:52:21
246,Pasni,PK,25.2631,63.471,75.78,60,0,8.41,clear sky,2022-03-24 00:53:49
247,Tiksi,RU,71.6872,128.8694,-7.78,98,95,1.92,overcast clouds,2022-03-24 00:53:49
248,Guilin,CN,25.2819,110.2864,50.11,94,100,0.81,overcast clouds,2022-03-24 00:53:50
249,Tibati,CM,6.4667,12.6333,69.46,41,36,1.3,scattered clouds,2022-03-24 00:53:50
250,Hanna,CA,51.6334,-111.9018,55.85,42,100,10.0,overcast clouds,2022-03-24 00:53:50
251,Mulege,MX,26.8833,-111.9833,75.43,22,0,13.65,clear sky,2022-03-24 00:53:51
252,Fairbanks,US,64.8378,-147.7164,21.09,44,0,14.97,clear sky,2022-03-24 00:49:02
253,Conde,BR,-7.2597,-34.9075,76.46,94,75,8.05,broken clouds,2022-03-24 00:53:51
